free_text,label_id,is_synthetic,temp_id,quality_score
Con Thúy Hiền này đúng là gơ luôn!,1,True,0,5
Thật sự vailon!,1,True,1,5
"Cứ cho nó rít vài bi là nó ngoan ngoãn liền, vl!",1,True,2,5
Chả hiểu kiểu gì nữa,1,True,3,3
Nhìn cái quần đấy mà chỉ muốn tụt nó xuống thôi 🤨,1,True,4,5
Giáo án One champ Lee mà còn bú đá rồi rụng xác kìa,1,True,5,5
Mất dạy vãi,1,True,6,5
Cứ bảo là dân trí thấp thì lại tự ái :),1,True,7,5
Bẩn thỉu quá,1,True,8,5
"Admin ơi, ban mấy thằng câu like chúc tết đi. Dị ứng lũ này vl",1,True,9,5
Nói xạo vãi,1,True,10,5
Đéo giống ai trên đời này luôn,1,True,11,5
Mất lịch sự thấy mồ,1,True,12,5
Đúng là ngu người,1,True,13,5
Ý thức như cứt,1,True,14,5
Nhìn như cave vcl :)),1,True,15,5
"Ui, cánh hoa đây nà",1,True,16,3
Tóm lại là vừa nghèo vừa thích gái,1,True,17,5
"Mẹ kiếp, sủa nghe mà thối cả ruột gan",1,True,18,5
"Trộn máu của 4 thằng vào rồi test, cắt đôi que thử nữa thì đúng là toang, vợ chồng nghi ngờ nhau, đứa bệnh thì tưởng mình trong sạch tha hồ lây cho người khác, đứa không bệnh lại tưởng có bệnh rồi lo sốt vó, kiểu này chắc tự tử luôn. Tóm lại là thốn tận rốn, không thể chấp nhận được",1,True,19,5
"Duma, bực mình vãi",1,True,20,5
"Mấy thằng mà chơi bời lêu lổng, ăn diện lòe loẹt, tính thì láo toét không biết nhục... Mồm thì nổ mà suốt ngày đi mượn tiền... Mấy ông tính sao? Cho nó vay bao lâu thì chán?",1,True,21,5
"Ad ơi, sao bọn VTV24 có thể đăng mấy comment tích cực cho nó vậy? Comment phản bác thì bị ẩn đi đâu mất",1,True,22,3
Là người nổi tiếng mà ăn mặc như thằng ăn mày,1,True,23,5
"ĐM, toàn khoe người này có của, người kia có nhà mà mình thì éo có con mẹ gì",1,True,24,5
"Chắc lão đại biểu này ít đọc báo nên ngu thông tin, ra đường gặp trẻ trâu thì ăn đấm lúc nào không hay",1,True,25,5
"Lớn tướng rồi chứ không phải dạng vừa đâu, đĩ ơi =))))",1,True,26,5
Mẹ mày luôn,1,True,27,5
dm =))) thoi,1,True,28,5
Mo nap bon cau cung phai di ve sinh that nhe nhang. Dm may ma de vai giot ra mep bon cau t thay tuc vai,1,True,29,5
Yeu duong cai gi? Nha toan viec,1,True,30,1
Phuc cai cc may :),1,True,31,5
Vai lonnnn,1,True,32,5
Can loi vi bon may,1,True,33,3
Nam Thanh binh luan cua ong kia chi de tat vao mom may dua tu nhuc luc nao cung noi nhat la nhat so 1 tu do chung ta thay thi nhat cung khong phai tot dep gi,1,True,34,5
Thoi xong an lol roi,1,True,35,5
Chua tung co ai treu nhu bay gio...!!,1,True,36,3
"No xao lon, them chem chet me no",1,True,37,5
Ui dit me dan phai ganh. Thue danh x2. Deo me Doi Moi Cuoc Song,1,True,38,5
O o so qua clm,1,True,39,5
"Tui tui khong dam noi sau giai phong, chi dam nghe thuat hoa su kien sau 75, TU NGAY DUT PHIM...🤣🤣🤣 kho qua.",1,True,40,3
Chi chui cho no biet do khung do,1,True,41,5
Xấu mặt vãi chưởng.,1,True,42,5
"Giàu sụ vì cái nết tốt á, lòng thương người giúp đỡ dân nghèo thiệt tình đm nó.",1,True,43,5
Lại đ' cayyy đi.,1,True,44,5
"Nhị Thắng ông anh chốt hạ câu lên top luôn, vãi cả chảo cười.",1,True,45,5
"Dân chủ đâu ra vậy mng, à tên nó là bảo hiểm ""bắt buộc"" chứ gì!",1,True,46,3
Vâng ạ mà em buồn vkl anh ơi 😞.,1,True,47,5
