free_text,label_id,is_synthetic
Chửi nhau - Lùa gà 👍,1,True
Vậy hóa ra từ trước đến nay là con bóng Long Xiên à?,2,True
Cương Đặng đang bảo ông palu lưu ấy 😂😂,0,False
hh...yêu anh tôi vl,0,False
Chắc quay clip 18+ ngon luôn,1,True
Em cong nhan voi chj be de bay gio con dep hon con gai nua .em thit chi roi do nha hjhj,0,False
Dân bầu sai lãnh đạo thì chẳng lẽ là lãnh đạo sai ?,2,False
Con đĩ mẹ mày!,2,True
Giang Thanh Đạt Đú Đẫn Quang Trung bác Ba ngày xưa khéo cũng thế,0,False
"Con nhỏ quy kia cái mồm nó thúi như cái lồn, đồ chó điên",2,True
Trẻ trâu đóng phim hài hả m?,1,True
Sống lố quá thể 😓😓😓,1,False
Mu này tởm thật sự,1,True
Chó cs bán nước hại dân.,2,False
Cha mẹ nào đẻ ra cái lũ thần kinh này :))),2,True
"Mấy ông bà làm ở sân bay đúng là ăn no ngủ kỹ, khách bị ướt có phải việc của mấy bố đâu mà quan tâm :))",2,True
Cái giá của 1 tỷ Nhân Dân Tệ của nó !!!,0,False
Đk vl anh ơi,0,False
Đúng là nhà quê vãi lúa.,1,True
Võ Ngọc Mỹ Duyên ừa haha mấy bố mấy má có biết cái lồn khô gì đâu bé =)))))).,1,True
Đụ má mày thầy ạ.,2,True
"Vãi lồn, chả hiểu gì cả.",1,True
Lại Thế Cường rẻ tiền vl.,2,True
"Đm, t bắn 3 phát rồi đấy, ngon vl ? mày mù à ?",1,True
Sáng dậy mình đc làm fan cứng :)),0,False
"Mấy thằng Việt cộng hầu hết xuất thân từ gia đình bần cố nông, đéo có học hành đến nơi đến chốn. Thế mà giờ lại đi cai quản đất nước như cái đống cứt, ngóc đầu lên không nổi!",2,True
Xạo lol để giựt tiền người ta,1,False
Thiều My Nguyễn xem xét ^^,0,False
Con trâu xanh cái mặt như cái lồn họ:D,2,False
Trúc Ngân ơ s lại đi so sánh dink kout của cây a tê em vs đỉnh cao của Jack vại bạn?? 🙃🙃Thiệt là khập khiễng vs cả thiệt thòi cho bạn nện đàn dzợ🙂🙂🙂,0,False
Tú bảnh dạy dỗ đàn em :)),0,False
Anh độ tôi :)),0,False
Móc lên ngửi cho biết mùi đời nè. Bẩn vcl 🤣🤣,1,True
Ko có ai là may ko tú đụ cầm dao chém bạn đấy 🤣🤣🤣,0,False
"Cho cái con lồn này banh xác luôn đi, đồ con gián.",2,True
Thằng Việt Nam ngu như bò nhưng lại a dua theo bọn Tàu Khựa khốn nạn.,2,True
Như 2 giọt nước chỉ khác mỗi mặt,0,False
"Rồi rồi, tui xin lỗi cả nước, được chưa?",0,False
Mặt cứ như là dân xã hội đen vậy =.=,1,True
anh nghĩ sao về việc có thêm vợ bé :v,0,False
Xử trảm ngay và luôn.,1,True
"Nhà nước mình nên mạnh tay xử lý mấy đứa đi nước ngoài về trốn khai báo y tế đi. Đứa nào mà về nước trốn khai báo, phát hiện dương tính là tống cổ ra bắn bỏ hết!",2,True
Có tâm thế 1 bên là con sam.1 bên là( con)chang bit con gi lun,0,False
Ơ BACK ko hoạt động à,0,False
Thèm bình tĩnh thôi anh em 😢,0,False
Mấy người kỳ thị LGBT là lạc hậu. Chết một tỷ kiếp cũng chưa hết mù.,2,True
"Thằng này đúng là súc sinh, khốn nạn, bỉ ổi, làm ô uế cả giống loài.",2,True
"Già rồi mà còn lầy lội, đúng là hết thuốc.",1,True
Bảo quản như hạch còn đòi kiện. Phạt cho chừa. Thử hỏi mua nước về để ngoài nắng nó nóng chảy nước ra thì chất lượng nào mà chịu nổi? Thông minh lên đi mấy ông thần ơi,2,True
Anh nói chuẩn luôn 😌,0,False
Lê Ngọc Ánh hấp dẫn vãi nhái,0,False
"Đúng là dân Bắc Kỳ, cái tội này là do Đảng cả đấy, cho ad hay :3",2,True
đúng vậy có nhiều má còn leo lên ngồi nữa giày dép nó zơ mà leo lên ngồi thấy gớm,0,False
mốt a kể chuyện này cho Tùng Sói nó nghe để nó cx biết dc triết lý giống ba nó 😂😂😂👍🏿,0,False
Ngô Tấn Hưng ire 4/1 kêu chơi với lính?,0,False
Maria OzaBe thời còn chơi bê đê,2,False
