free_text,label_id,is_synthetic
Con Thúy Hiền này đúng là gơ luôn!,1,True
Thật sự vailon!,1,True
"Cứ cho nó rít vài bi là nó ngoan ngoãn liền, vl!",1,True
Chả hiểu kiểu gì nữa,1,True
Nhìn cái quần đấy mà chỉ muốn tụt nó xuống thôi 🤨,1,True
Giáo án One champ Lee mà còn bú đá rồi rụng xác kìa,1,True
Mất dạy vãi,1,True
Cứ bảo là dân trí thấp thì lại tự ái :),1,True
Bẩn thỉu quá,1,True
"Admin ơi, ban mấy thằng câu like chúc tết đi. Dị ứng lũ này vl",1,True
Nói xạo vãi,1,True
Đéo giống ai trên đời này luôn,1,True
Mất lịch sự thấy mồ,1,True
Đúng là ngu người,1,True
Ý thức như cứt,1,True
Nhìn như cave vcl :)),1,True
"Ui, cánh hoa đây nà",1,True
Tóm lại là vừa nghèo vừa thích gái,1,True
"Mẹ kiếp, sủa nghe mà thối cả ruột gan",1,True
"Trộn máu của 4 thằng vào rồi test, cắt đôi que thử nữa thì đúng là toang, vợ chồng nghi ngờ nhau, đứa bệnh thì tưởng mình trong sạch tha hồ lây cho người khác, đứa không bệnh lại tưởng có bệnh rồi lo sốt vó, kiểu này chắc tự tử luôn. Tóm lại là thốn tận rốn, không thể chấp nhận được",1,True
"Duma, bực mình vãi",1,True
"Mấy thằng mà chơi bời lêu lổng, ăn diện lòe loẹt, tính thì láo toét không biết nhục... Mồm thì nổ mà suốt ngày đi mượn tiền... Mấy ông tính sao? Cho nó vay bao lâu thì chán?",1,True
"Ad ơi, sao bọn VTV24 có thể đăng mấy comment tích cực cho nó vậy? Comment phản bác thì bị ẩn đi đâu mất",1,True
Là người nổi tiếng mà ăn mặc như thằng ăn mày,1,True
"ĐM, toàn khoe người này có của, người kia có nhà mà mình thì éo có con mẹ gì",1,True
"Chắc lão đại biểu này ít đọc báo nên ngu thông tin, ra đường gặp trẻ trâu thì ăn đấm lúc nào không hay",1,True
"Lớn tướng rồi chứ không phải dạng vừa đâu, đĩ ơi =))))",1,True
Mẹ mày luôn,1,True
dm =))) thoi,1,True
Mo nap bon cau cung phai di ve sinh that nhe nhang. Dm may ma de vai giot ra mep bon cau t thay tuc vai,1,True
Yeu duong cai gi? Nha toan viec,1,True
Phuc cai cc may :),1,True
Vai lonnnn,1,True
Can loi vi bon may,1,True
Nam Thanh binh luan cua ong kia chi de tat vao mom may dua tu nhuc luc nao cung noi nhat la nhat so 1 tu do chung ta thay thi nhat cung khong phai tot dep gi,1,True
Thoi xong an lol roi,1,True
Chua tung co ai treu nhu bay gio...!!,1,True
"No xao lon, them chem chet me no",1,True
Ui dit me dan phai ganh. Thue danh x2. Deo me Doi Moi Cuoc Song,1,True
O o so qua clm,1,True
"Tui tui khong dam noi sau giai phong, chi dam nghe thuat hoa su kien sau 75, TU NGAY DUT PHIM...🤣🤣🤣 kho qua.",1,True
Chi chui cho no biet do khung do,1,True
Xấu mặt vãi chưởng.,1,True
"Giàu sụ vì cái nết tốt á, lòng thương người giúp đỡ dân nghèo thiệt tình đm nó.",1,True
Lại đ' cayyy đi.,1,True
"Nhị Thắng ông anh chốt hạ câu lên top luôn, vãi cả chảo cười.",1,True
